Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Naranja,GarciaVal,CPB4475,47,5,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,47,6,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,48,1,FALSO,NA,NA,NA,NA
Naranja,V_Washington,CPB4475,48,2,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,48,3,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,48,4,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,48,5,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,48,6,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,49,1,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,49,2,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,49,3,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,49,4,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,49,5,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,49,6,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,50,1,Verdadero,1,1,1,NA
Mandarina,M_Oneco,CPB4475,50,2,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,50,3,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,50,4,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,50,5,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,CPB4475,50,6,Verdadero,1,0,0,NA
Mandarina,M_Arrayana,CPB4475,51,1,Verdadero,1,2,1,NA
Mandarina,M_Arrayana,CPB4475,51,2,Verdadero,1,1,1,NA
Mandarina,M_Arrayana,CPB4475,51,3,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,CPB4475,51,4,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,CPB4475,51,5,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,CPB4475,51,6,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,52,1,Verdadero,1,0,0,NA
Mandarina,OwariSatsuma,CPB4475,52,2,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,52,3,Verdadero,0,NA,0,NA
